category,path
Mexico,/Local/Regional Content/Mexico & Central America/Mexico
Middle East,/Local/Regional Content/Middle East
Egypt,/Local/Regional Content/Middle East/Egypt
Iraq,/Local/Regional Content/Middle East/Iraq
Israel,/Local/Regional Content/Middle East/Israel
Lebanon,/Local/Regional Content/Middle East/Lebanon
Turkey,/Local/Regional Content/Middle East/Turkey
United Arab Emirates,/Local/Regional Content/Middle East/United Arab Emirates
Oceania,/Local/Regional Content/Oceania
Australia,/Local/Regional Content/Oceania/Australia
New Zealand,/Local/Regional Content/Oceania/New Zealand
Pacific Islands,/Local/Regional Content/Oceania/Pacific Islands
Polar Regions,/Local/Regional Content/Polar Regions
Russia & Caucasus,/Local/Regional Content/Russia & Caucasus
South America,/Local/Regional Content/South America
Argentina,/Local/Regional Content/South America/Argentina
Brazil,/Local/Regional Content/South America/Brazil
Peru,/Local/Regional Content/South America/Peru
Southeast Asia,/Local/Regional Content/Southeast Asia
Indonesia,/Local/Regional Content/Southeast Asia/Indonesia
Malaysia,/Local/Regional Content/Southeast Asia/Malaysia
Philippines,/Local/Regional Content/Southeast Asia/Philippines
Singapore,/Local/Regional Content/Southeast Asia/Singapore
Thailand,/Local/Regional Content/Southeast Asia/Thailand
Vietnam,/Local/Regional Content/Southeast Asia/Vietnam
US & Canada,/Local/Regional Content/US & Canada
Canada,/Local/Regional Content/US & Canada/Canada
USA,/Local/Regional Content/US & Canada/USA
Western Europe,/Local/Regional Content/Western Europe
France,/Local/Regional Content/Western Europe/France
Germany,/Local/Regional Content/Western Europe/Germany
